,dt,ax [mg],ay [mg],az [mg],gx [mdeg/s],gy [mdeg/s],gz [mdeg/s],mx [mgauss],my [mgauss],mz [mgauss],roll [deg],pitch [deg],yaw [deg]
135,0.004,49.532,-60.268,1058.96,11427.5,4287.5,367.5,-10.360000000000001,192.36,-923.3000000000001,-3.181318681318681,2.587912087912088,-76.28021978021978
136,0.004,49.532,-60.512,1059.692,11515.0,4532.5,52.5,-10.360000000000001,192.36,-923.3000000000001,-3.357142857142857,2.730769230769231,-76.28571428571429
137,0.004,49.775999999999996,-60.512,1059.936,11707.5,4497.5,140.0,-10.360000000000001,192.36,-923.3000000000001,-3.241758241758242,2.6648351648351647,-76.28021978021978
138,0.004,49.775999999999996,-60.512,1060.668,11760.0,4480.0,227.5,-5.32,184.66000000000003,-926.94,-3.4285714285714284,2.802197802197802,-76.28021978021978
139,0.004,49.532,-60.756,1061.156,10745.0,4340.0,245.0,-5.32,184.66000000000003,-926.94,-3.3351648351648353,2.697802197802198,-76.27472527472527
140,0.004,49.288,-60.512,1060.912,11270.0,4585.0,87.5,-5.32,184.66000000000003,-926.94,-3.2252747252747254,2.620879120879121,-76.26923076923077
141,0.004,49.288,-60.512,1060.424,11357.5,4427.5,157.5,-2.8000000000000003,187.74,-935.7600000000001,-3.4065934065934065,2.758241758241758,-76.27472527472527
142,0.004,49.044,-60.512,1059.936,11130.0,4392.5,262.5,-2.8000000000000003,187.74,-935.7600000000001,-3.3131868131868134,2.659340659340659,-76.26923076923077
143,0.004,49.044,-60.268,1059.204,11392.5,4497.5,157.5,-2.8000000000000003,187.74,-935.7600000000001,-3.181318681318681,2.6263736263736264,-76.26373626373626
144,0.004,49.044,-60.268,1058.472,11637.5,4550.0,332.5,-6.580000000000001,184.52,-933.6600000000001,-3.4065934065934065,2.6868131868131866,-76.26923076923077
145,0.004,49.044,-60.024,1057.4959999999999,11532.5,4532.5,175.0,-6.580000000000001,184.52,-933.6600000000001,-3.2747252747252746,2.6648351648351647,-76.26373626373626
146,0.004,49.044,-59.78,1057.008,11725.0,4585.0,140.0,-6.580000000000001,184.52,-933.6600000000001,-3.1483516483516483,2.6263736263736264,-76.25824175824175
147,0.004,49.044,-59.78,1056.032,11357.5,4620.0,157.5,-5.6000000000000005,191.10000000000002,-936.1800000000001,-3.368131868131868,2.697802197802198,-76.26373626373626
148,0.004,49.044,-59.78,1055.5439999999999,10920.0,4392.5,315.0,-5.6000000000000005,191.10000000000002,-936.1800000000001,-3.2362637362637363,2.659340659340659,-76.25824175824175
149,0.004,49.044,-59.536,1055.056,11392.5,4620.0,0.0,-5.6000000000000005,191.10000000000002,-936.1800000000001,-3.098901098901099,2.6538461538461537,-76.25274725274726
150,0.004,49.288,-59.78,1054.568,11795.0,4602.5,140.0,-8.260000000000002,191.38000000000002,-929.46,-3.32967032967033,2.6923076923076925,-76.25824175824175
151,0.004,49.044,-59.536,1054.568,11287.5,4340.0,140.0,-8.260000000000002,191.38000000000002,-929.46,-3.2032967032967035,2.6483516483516483,-76.25274725274726
152,0.004,49.044,-59.536,1054.812,11585.0,4392.5,175.0,-8.260000000000002,191.38000000000002,-929.46,-3.423076923076923,2.7252747252747254,-76.25824175824175
153,0.004,48.8,-59.536,1055.056,11252.5,4375.0,210.0,-8.4,191.66000000000003,-927.9200000000001,-3.2967032967032965,2.67032967032967,-76.25274725274726
154,0.004,48.8,-59.536,1055.5439999999999,11375.0,4567.5,262.5,-8.4,191.66000000000003,-927.9200000000001,-3.1758241758241756,2.620879120879121,-76.24175824175825
155,0.004,48.556,-59.536,1055.5439999999999,11445.0,4620.0,262.5,-8.4,191.66000000000003,-927.9200000000001,-3.401098901098901,2.6648351648351647,-76.24725274725274
156,0.004,48.8,-59.536,1056.032,11742.5,4690.0,332.5,-5.32,192.50000000000003,-933.6600000000001,-3.269230769230769,2.659340659340659,-76.24175824175825
157,0.004,48.8,-59.536,1056.52,11690.0,4567.5,210.0,-5.32,192.50000000000003,-933.6600000000001,-3.1483516483516483,2.6043956043956045,-76.23626373626374
158,0.004,49.044,-59.78,1057.252,11112.5,4392.5,105.0,-5.32,192.50000000000003,-933.6600000000001,-3.3516483516483517,2.708791208791209,-76.24175824175825
159,0.004,49.044,-60.024,1057.984,11637.5,4532.5,262.5,-5.32,192.50000000000003,-933.6600000000001,-3.241758241758242,2.6373626373626373,-76.23626373626374
160,0.004,48.8,-60.268,1058.96,11550.0,4462.5,437.5,-7.840000000000001,189.70000000000002,-929.0400000000001,-3.4615384615384617,2.60989010989011,-76.24175824175825
161,0.004,49.044,-60.512,1059.936,10815.0,4532.5,140.0,-7.840000000000001,189.70000000000002,-929.0400000000001,-3.3241758241758244,2.659340659340659,-76.23626373626374
