,dt,ax [mg],ay [mg],az [mg],gx [mdeg/s],gy [mdeg/s],gz [mdeg/s],mx [mgauss],my [mgauss],mz [mgauss],roll [deg],pitch [deg],yaw [deg]
55,0.004,-198.37199999999999,-59.78,1045.7839999999999,11585.0,4340.0,507.5,-119.00000000000001,220.22000000000003,-893.34,-3.2967032967032965,-10.835164835164836,-77.56043956043956
56,0.004,-198.37199999999999,-60.024,1046.272,11480.0,4620.0,525.0,-119.00000000000001,220.22000000000003,-893.34,-3.318681318681319,-10.637362637362637,-77.55494505494505
57,0.004,-198.37199999999999,-60.024,1047.004,11515.0,4550.0,542.5,-119.00000000000001,220.22000000000003,-893.34,-3.28021978021978,-10.780219780219781,-77.57142857142857
58,0.004,-198.37199999999999,-60.024,1047.98,11305.0,4235.0,980.0,-122.50000000000001,217.14000000000001,-886.2,-3.3131868131868134,-10.582417582417582,-77.56593406593407
59,0.004,-198.37199999999999,-60.024,1048.712,10535.0,4252.5,752.5,-122.50000000000001,217.14000000000001,-886.2,-3.2967032967032965,-10.736263736263735,-77.58241758241758
60,0.004,-198.37199999999999,-60.268,1049.444,11340.0,4305.0,577.5,-122.50000000000001,217.14000000000001,-886.2,-3.302197802197802,-10.543956043956044,-77.57692307692308
61,0.004,-198.61599999999999,-60.024,1050.176,11410.0,4340.0,735.0,-119.28000000000002,211.68,-882.2800000000001,-3.3131868131868134,-10.703296703296703,-77.58791208791209
62,0.004,-198.61599999999999,-60.024,1050.176,11025.0,4445.0,507.5,-119.28000000000002,211.68,-882.2800000000001,-3.1758241758241756,-10.648351648351648,-77.62087912087912
63,0.004,-198.85999999999999,-60.024,1049.932,11497.5,4427.5,525.0,-119.28000000000002,211.68,-882.2800000000001,-3.3736263736263736,-10.73076923076923,-77.5934065934066
64,0.004,-198.85999999999999,-60.024,1049.444,11602.5,4410.0,787.5,-113.96000000000001,214.20000000000002,-888.1600000000001,-3.2362637362637363,-10.686813186813186,-77.62637362637362
65,0.004,-198.85999999999999,-59.78,1048.956,10972.5,4270.0,752.5,-113.96000000000001,214.20000000000002,-888.1600000000001,-3.3846153846153846,-10.81868131868132,-77.60989010989012
66,0.004,-198.85999999999999,-59.78,1047.98,11445.0,4392.5,402.5,-113.96000000000001,214.20000000000002,-888.1600000000001,-3.28021978021978,-10.692307692307692,-77.63186813186813
67,0.004,-198.85999999999999,-59.536,1047.248,11515.0,4427.5,647.5,-115.64000000000001,217.70000000000002,-885.08,-3.230769230769231,-10.82967032967033,-77.65384615384616
68,0.004,-198.85999999999999,-59.292,1046.272,10605.0,4130.0,525.0,-115.64000000000001,217.70000000000002,-885.08,-3.302197802197802,-10.631868131868131,-77.63736263736264
69,0.004,-198.85999999999999,-59.292,1045.54,11322.5,4375.0,665.0,-115.64000000000001,217.70000000000002,-885.08,-3.269230769230769,-10.780219780219781,-77.65384615384616
70,0.004,-198.85999999999999,-59.292,1044.808,11252.5,4322.5,665.0,-115.92000000000002,212.10000000000002,-886.6200000000001,-3.1758241758241756,-10.648351648351648,-77.67582417582418
71,0.004,-199.10399999999998,-59.048,1044.076,10832.5,4375.0,630.0,-115.92000000000002,212.10000000000002,-886.6200000000001,-3.291208791208791,-10.796703296703297,-77.66483516483517
72,0.004,-199.10399999999998,-59.048,1043.8319999999999,11480.0,4480.0,700.0,-115.92000000000002,212.10000000000002,-886.6200000000001,-3.1538461538461537,-10.747252747252746,-77.6978021978022
73,0.004,-199.10399999999998,-59.048,1043.8319999999999,11235.0,4305.0,700.0,-120.12,215.60000000000002,-890.4000000000001,-3.368131868131868,-10.807692307692308,-77.66483516483517
74,0.004,-199.10399999999998,-59.048,1043.588,11305.0,4357.5,805.0,-120.12,215.60000000000002,-890.4000000000001,-3.230769230769231,-10.763736263736265,-77.6923076923077
75,0.004,-199.10399999999998,-59.048,1043.588,11497.5,4340.0,630.0,-120.12,215.60000000000002,-890.4000000000001,-3.3241758241758244,-10.917582417582418,-77.6923076923077
76,0.004,-199.34799999999998,-59.048,1043.588,11690.0,4410.0,752.5,-119.70000000000002,216.86,-891.1000000000001,-3.2637362637362637,-10.752747252747254,-77.7032967032967
77,0.004,-199.10399999999998,-59.048,1043.8319999999999,11707.5,4427.5,717.5,-119.70000000000002,216.86,-891.1000000000001,-3.1868131868131866,-10.873626373626374,-77.73076923076923
78,0.004,-199.10399999999998,-59.048,1044.32,11375.0,4550.0,630.0,-119.70000000000002,216.86,-891.1000000000001,-3.318681318681319,-10.692307692307692,-77.7032967032967
79,0.004,-199.10399999999998,-59.048,1044.808,11462.5,4270.0,682.5,-118.86000000000001,216.02,-890.6800000000001,-3.230769230769231,-10.807692307692308,-77.73076923076923
80,0.004,-199.10399999999998,-59.048,1045.052,11340.0,4287.5,682.5,-118.86000000000001,216.02,-890.6800000000001,-3.2857142857142856,-10.60989010989011,-77.71978021978022
81,0.004,-199.10399999999998,-59.536,1045.7839999999999,11480.0,4340.0,700.0,-118.86000000000001,216.02,-890.6800000000001,-3.302197802197802,-10.76923076923077,-77.73076923076923
82,0.004,-199.10399999999998,-59.536,1046.028,11480.0,4427.5,717.5,-118.86000000000001,216.02,-890.6800000000001,-3.1648351648351647,-10.719780219780219,-77.75824175824175
83,0.004,-199.10399999999998,-59.78,1047.004,11690.0,4532.5,822.5,-119.70000000000002,225.82000000000002,-890.1200000000001,-3.39010989010989,-10.758241758241759,-77.72527472527473
84,0.004,-198.61599999999999,-60.024,1047.98,10832.5,4217.5,735.0,-119.70000000000002,225.82000000000002,-890.1200000000001,-3.258241758241758,-10.675824175824175,-77.75274725274726
85,0.004,-198.61599999999999,-60.268,1048.956,11637.5,4392.5,542.5,-119.70000000000002,225.82000000000002,-890.1200000000001,-3.434065934065934,-10.785714285714286,-77.73076923076923
86,0.004,-198.61599999999999,-60.268,1049.6879999999999,11462.5,4392.5,612.5,-115.50000000000001,212.66000000000003,-887.46,-3.3241758241758244,-10.675824175824175,-77.75274725274726
87,0.004,-198.85999999999999,-60.024,1049.932,10605.0,4112.5,455.0,-115.50000000000001,212.66000000000003,-887.46,-3.208791208791209,-10.763736263736265,-77.78571428571429
88,0.004,-198.85999999999999,-60.024,1049.6879999999999,11007.5,4252.5,385.0,-115.50000000000001,212.66000000000003,-887.46,-3.401098901098901,-10.631868131868131,-77.75274725274726
89,0.004,-198.85999999999999,-59.78,1049.444,11357.5,4357.5,805.0,-113.12,212.38000000000002,-886.9000000000001,-3.2857142857142856,-10.708791208791208,-77.78571428571429
90,0.004,-198.85999999999999,-59.536,1048.468,11130.0,4375.0,560.0,-113.12,212.38000000000002,-886.9000000000001,-3.159340659340659,-10.763736263736265,-77.81868131868131
91,0.004,-198.85999999999999,-59.292,1047.98,11480.0,4357.5,507.5,-113.12,212.38000000000002,-886.9000000000001,-3.3736263736263736,-10.67032967032967,-77.78021978021978
92,0.004,-199.10399999999998,-59.048,1047.248,11410.0,4515.0,507.5,-117.74000000000001,220.08,-891.94,-3.258241758241758,-10.741758241758241,-77.81318681318682
93,0.004,-198.85999999999999,-59.048,1046.272,10815.0,4497.5,805.0,-117.74000000000001,220.08,-891.94,-3.120879120879121,-10.76923076923077,-77.84615384615384
94,0.004,-198.85999999999999,-58.804,1045.296,11182.5,4340.0,472.5,-117.74000000000001,220.08,-891.94,-3.3516483516483517,-10.73076923076923,-77.8076923076923
95,0.004,-198.85999999999999,-58.804,1044.808,10885.0,4112.5,455.0,-114.24000000000001,216.72000000000003,-890.6800000000001,-3.2142857142857144,-10.758241758241759,-77.84065934065934
96,0.004,-198.85999999999999,-58.56,1044.076,10955.0,4322.5,577.5,-114.24000000000001,216.72000000000003,-890.6800000000001,-3.1923076923076925,-10.912087912087912,-77.85714285714286
97,0.004,-198.85999999999999,-58.56,1043.8319999999999,11270.0,4287.5,542.5,-114.24000000000001,216.72000000000003,-890.6800000000001,-3.258241758241758,-10.714285714285714,-77.84615384615384
98,0.004,-198.85999999999999,-58.56,1043.588,11270.0,4550.0,770.0,-115.92000000000002,219.94000000000003,-893.6200000000001,-3.1868131868131866,-10.840659340659341,-77.86813186813187
